experiment_key,video_key,model_key,model_display_name,tracker,region_mode,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,1,keke,0.0,0.26666666666666666,0.26666666666666666,0,8,170.35763549804688,368.49835205078125,130.62042236328125,397.30914306640625,0.9216282665729523,0.9257017970085144,8
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,2,keke,2.1,2.1333333333333333,0.033333333333333215,63,64,894.437255859375,399.9838562011719,894.437255859375,399.9838562011719,0.33730754256248474,0.33730754256248474,1
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,2,keke,3.0,600.7,597.7,90,18021,884.1668701171875,399.4508972167969,880.7855224609375,392.57470703125,0.3844622789007245,0.5437120795249939,33
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,3,car,0.7666666666666667,4.533333333333333,3.7666666666666666,23,136,963.1741943359375,361.5657043457031,996.486083984375,395.955322265625,0.719936076782446,0.8360660076141357,113
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,4,keke,3.5,3.933333333333333,0.4333333333333331,105,118,223.453369140625,362.58001708984375,183.36366271972656,397.0252380371094,0.9177315005889306,0.9287365078926086,13
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,5,car,1.7666666666666666,2.1666666666666665,0.3999999999999999,53,65,248.5233154296875,360.6991271972656,214.1632080078125,396.17132568359375,0.8518392890691757,0.8682275414466858,12
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,9,keke,0.7,600.7,600.0,21,18021,880.9742431640625,363.7318115234375,881.0175170898438,374.3323974609375,0.5505161481244224,0.7218843698501587,35
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,10,car,4.866666666666666,5.633333333333334,0.7666666666666675,146,169,475.914794921875,360.57464599609375,468.6383056640625,399.8387451171875,0.8140244406202565,0.8502230048179626,23
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,19,keke,3.7,4.066666666666666,0.36666666666666625,111,122,296.64892578125,360.6439208984375,265.7340393066406,396.7718811035156,0.911812343380668,0.920690655708313,11
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,67,car,2.2,600.7,598.5,66,18021,883.33056640625,364.9483642578125,884.2249755859375,366.8851623535156,0.37728561758995055,0.4756864011287689,10
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,69,keke,7.533333333333333,8.3,0.7666666666666675,226,249,219.48031616210938,360.8001403808594,123.99853515625,398.72967529296875,0.9159043768177861,0.926851749420166,23
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,81,car,8.4,10.5,2.0999999999999996,252,315,944.1911010742188,399.63446044921875,912.0791015625,360.36273193359375,0.5331100152598487,0.7913536429405212,45
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,89,car,8.0,9.133333333333333,1.1333333333333329,240,274,817.0479736328125,398.9513244628906,808.4287109375,360.093994140625,0.6308613077682608,0.7860052585601807,34
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,119,car,7.666666666666667,8.466666666666667,0.7999999999999998,230,254,856.4912109375,398.8714599609375,828.705810546875,362.7015380859375,0.7560144407408578,0.795911967754364,21
yola_road__yolo11l_tuned__bytetrack__roi,yola_road,yolo11l_tuned,YOLO11l tuned,bytetrack,roi,132,bus,6.2,7.366666666666666,1.166666666666666,186,221,842.0457763671875,399.9297790527344,839.3634033203125,360.13995361328125,0.7377170954431806,0.8132790923118591,35
