experiment_key,video_key,model_key,model_display_name,tracker,region_mode,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,1,keke,0.0,0.26666666666666666,0.26666666666666666,0,8,170.35763549804688,368.49835205078125,130.6266632080078,397.3140869140625,0.9216282665729523,0.9257017970085144,8
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,2,keke,2.1,2.1333333333333333,0.033333333333333215,63,64,894.6009521484375,399.8352355957031,894.6009521484375,399.8352355957031,0.33730754256248474,0.33730754256248474,1
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,2,keke,3.0,4.5,1.5,90,135,884.3433837890625,399.1745910644531,880.9312744140625,392.626708984375,0.3844622789007245,0.5437120795249939,33
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,2,keke,6.2,7.366666666666666,1.166666666666666,186,221,842.1900024414062,399.72589111328125,839.415771484375,360.102294921875,0.7377170954431806,0.8132790923118591,35
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,3,car,0.7333333333333333,4.533333333333333,3.8,22,136,964.810302734375,360.2542419433594,996.5068359375,397.3222351074219,0.7169005954474733,0.8360660076141357,114
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,4,keke,3.5,3.933333333333333,0.4333333333333331,105,118,223.69418334960938,362.8182373046875,183.46096801757812,397.26092529296875,0.9177315005889306,0.9287365078926086,13
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,5,car,1.7666666666666666,2.1666666666666665,0.3999999999999999,53,65,248.50787353515625,360.608642578125,214.08990478515625,396.200927734375,0.8518392890691757,0.8682275414466858,12
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,9,keke,0.7,600.7,600.0,21,18021,880.9385986328125,364.601318359375,881.1114501953125,374.3814697265625,0.5505161481244224,0.7218843698501587,35
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,10,car,4.9,5.633333333333334,0.7333333333333334,147,169,475.0562438964844,361.42364501953125,468.4056091308594,399.8563232421875,0.8146023425188932,0.8502230048179626,22
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,11,car,8.0,9.133333333333333,1.1333333333333329,240,274,817.132568359375,398.7669982910156,808.3717651367188,360.34295654296875,0.6308613077682608,0.7860052585601807,34
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,19,keke,3.7,4.066666666666666,0.36666666666666625,111,122,296.68212890625,360.8548278808594,265.70721435546875,396.99884033203125,0.911812343380668,0.920690655708313,11
yola_road__yolo11l_tuned__botsort__roi,yola_road,yolo11l_tuned,YOLO11l tuned,botsort,roi,21,keke,7.533333333333333,8.3,0.7666666666666675,226,249,219.50115966796875,360.8345947265625,124.13876342773438,398.77264404296875,0.9159043768177861,0.926851749420166,23
