experiment_key,video_key,model_key,model_display_name,tracker,region_mode,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
yola_road__yolo26l_tuned__bytetrack__full_frame,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,full_frame,1,keke,0.0,600.7,600.7,0,18021,170.3488006591797,366.9794006347656,34.69438171386719,541.0669555664062,0.8311076736450196,0.9076032042503357,25
yola_road__yolo26l_tuned__bytetrack__full_frame,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,full_frame,2,car,0.0,600.7,600.7,0,18021,350.5068054199219,233.43487548828125,42.5420036315918,602.4241943359375,0.8292441794685289,0.8991807103157043,102
yola_road__yolo26l_tuned__bytetrack__full_frame,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,full_frame,3,car,0.0,600.7,600.7,0,18021,483.20379638671875,163.5436248779297,305.5105285644531,680.5463256835938,0.7651147974426287,0.8994019627571106,228
yola_road__yolo26l_tuned__bytetrack__full_frame,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,full_frame,4,car,0.0,600.7,600.7,0,18021,966.693603515625,338.96087646484375,1020.4951171875,430.2760009765625,0.6146042780442671,0.8059538006782532,165
yola_road__yolo26l_tuned__bytetrack__full_frame,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,full_frame,5,car,0.0,600.7,600.7,0,18021,748.411865234375,207.35476684570312,747.8114013671875,210.53036499023438,0.5126865576295292,0.6169913411140442,17
yola_road__yolo26l_tuned__bytetrack__full_frame,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,full_frame,6,keke,0.0,600.7,600.7,0,18021,381.2091369628906,194.51739501953125,46.095603942871094,564.3001708984375,0.7706932011915713,0.9008926749229431,147
yola_road__yolo26l_tuned__bytetrack__full_frame,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,full_frame,7,keke,0.0,600.7,600.7,0,18021,1020.9609985351562,438.1717529296875,878.9404296875,394.3427734375,0.5224738689709683,0.8131207823753357,98
yola_road__yolo26l_tuned__bytetrack__full_frame,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,full_frame,8,car,0.0,600.7,600.7,0,18021,556.0811767578125,162.02980041503906,556.0811767578125,162.02980041503906,0.30322691798210144,0.30322691798210144,1
yola_road__yolo26l_tuned__bytetrack__full_frame,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,full_frame,9,car,0.0,600.7,600.7,0,18021,1020.9873046875,438.33843994140625,1020.9873046875,438.33843994140625,0.30281099677085876,0.30281099677085876,1
yola_road__yolo26l_tuned__bytetrack__full_frame,yola_road,yolo26l_tuned,YOLO26l tuned,bytetrack,full_frame,12,bus,0.16666666666666666,600.7,600.5333333333334,5,18021,1006.7072143554688,428.38800048828125,1003.7137451171875,427.2644348144531,0.3191569298505783,0.3492472171783447,2
