model,track_id,class,enter_time_s,exit_time_s,duration_s,enter_frame,exit_frame,enter_cx,enter_cy,exit_cx,exit_cy,avg_conf_in_region,max_conf_in_region,frames_in_region
tuned,2,keke,0.0,0.26666666666666666,0.26666666666666666,0,8,795.22656,584.423,791.1888,598.9248,0.6713051050901413,0.7817472815513611,8
tuned,5,keke,0.0,0.43333333333333335,0.43333333333333335,0,13,1185.0231,573.6593,1186.1145,560.6168,0.3811222223135141,0.5176939964294434,13
tuned,8,keke,1.1,1.9,0.7999999999999998,33,57,1197.6692,598.0443,1179.4299,562.4892,0.31083496659994125,0.43427756428718567,4
tuned,10,truck,1.5333333333333334,2.2666666666666666,0.7333333333333332,46,68,937.9176,560.9951,924.6012,599.5952,0.6934599158438769,0.8392171859741211,22
tuned,12,keke,1.0666666666666667,419.96666666666664,418.9,32,12599,1269.8367,599.3899,1270.3752,597.60834,0.3205890456835429,0.3468776047229767,3
tuned,18,keke,2.1333333333333333,2.933333333333333,0.7999999999999998,64,88,847.0438,561.6406,825.8797,598.39825,0.836620902021726,0.9082159996032715,24
tuned,30,keke,4.1,5.066666666666666,0.9666666666666668,123,152,1165.6763,599.42053,1149.9026,561.0126,0.6262078059130701,0.7929012179374695,29
tuned,33,keke,4.266666666666667,5.4,1.1333333333333337,128,162,1251.1658,599.46606,1236.6938,560.985,0.44944839080174764,0.6854469180107117,30
tuned,38,keke,4.166666666666667,4.8,0.6333333333333329,125,144,952.027,561.44354,944.7451,599.09033,0.5371175988724357,0.6891284584999084,19
tuned,43,keke,4.966666666666667,5.666666666666667,0.7000000000000002,149,170,850.6253,560.72736,825.07684,599.5394,0.751998864469074,0.8750404119491577,21
tuned,44,car,6.533333333333333,7.833333333333333,1.2999999999999998,196,235,1208.5388,599.83777,1176.8584,560.151,0.5722068422719052,0.8109493255615234,38
tuned,46,car,7.3,8.166666666666666,0.8666666666666663,219,245,921.9608,560.0251,902.1793,599.8633,0.9060957569342393,0.9168383479118347,26
tuned,56,truck,6.666666666666667,419.96666666666664,413.29999999999995,200,12599,1205.668,596.53394,1205.668,596.53394,0.4008329510688782,0.4008329510688782,1
tuned,60,truck,7.0,419.96666666666664,412.96666666666664,210,12599,1197.3143,584.2979,1195.7095,581.9219,0.34898553291956586,0.3678455650806427,3
tuned,64,car,7.166666666666667,419.96666666666664,412.79999999999995,215,12599,1193.1627,578.7368,1192.2903,578.0841,0.40691161155700684,0.4120709002017975,2
tuned,73,car,7.433333333333334,419.96666666666664,412.5333333333333,223,12599,1185.901,571.0873,1182.5723,567.4866,0.36039976477622987,0.44042253494262695,5
