experiment_key,plot_label,video_key,direction,min_avg_conf,min_duration_s,max_duration_s,overall_wape,keke_f1
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.4,0.3,10.0,1.619718309859155,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.4,0.5,10.0,1.3505154639175259,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.4,0.5,10.0,1.4859154929577465,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.5,0.0,10.0,1.365979381443299,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.5,0.0,10.0,1.6549295774647887,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.5,0.15,10.0,1.3402061855670102,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.5,0.15,10.0,1.5985915492957747,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.5,0.3,10.0,1.3144329896907216,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.5,0.3,10.0,1.5140845070422535,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.5,0.5,10.0,1.1288659793814433,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.5,0.5,10.0,1.3873239436619718,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.6,0.0,10.0,1.0360824742268042,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.6,0.0,10.0,1.4366197183098592,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.6,0.15,10.0,1.0257731958762886,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.6,0.15,10.0,1.4014084507042253,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.6,0.3,10.0,1.0051546391752577,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.6,0.3,10.0,1.323943661971831,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,downward,0.6,0.5,10.0,0.8917525773195877,
mubi_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,mubi_road,upward,0.6,0.5,10.0,1.2253521126760563,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.3,0.0,10.0,1.0257731958762886,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.3,0.0,10.0,0.9295774647887324,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.3,0.15,10.0,1.0257731958762886,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.3,0.15,10.0,0.9295774647887324,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.3,0.3,10.0,1.0257731958762886,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.3,0.3,10.0,0.9295774647887324,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.3,0.5,10.0,1.0257731958762886,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.3,0.5,10.0,0.9295774647887324,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.4,0.0,10.0,1.0103092783505154,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.4,0.0,10.0,0.9295774647887324,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.4,0.15,10.0,1.0103092783505154,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.4,0.15,10.0,0.9295774647887324,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.4,0.3,10.0,1.0103092783505154,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.4,0.3,10.0,0.9295774647887324,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.4,0.5,10.0,1.0103092783505154,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.4,0.5,10.0,0.9295774647887324,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.5,0.0,10.0,0.9948453608247423,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.5,0.0,10.0,0.9647887323943662,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.5,0.15,10.0,0.9948453608247423,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.5,0.15,10.0,0.9647887323943662,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.5,0.3,10.0,0.9948453608247423,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,upward,0.5,0.3,10.0,0.9647887323943662,
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,downward,0.5,0.5,10.0,0.9948453608247423,
