experiment_key,plot_label,video_key,scene,architecture,variant,tracker,region_mode,direction,class,predicted_count,manual_count,signed_error,abs_error,pct_error,abs_pct_error,count_accuracy,min_duration_s,max_duration_s,min_avg_conf
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,upward,car,11,17,-6,6,-35.294117647058826,35.294117647058826,0.6470588235294117,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,upward,keke,0,120,-120,120,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,full_frame,upward,truck,1,5,-4,4,-80.0,80.0,0.19999999999999996,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,roi,downward,bus,44,1,43,43,4300.0,4300.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,roi,downward,car,96,35,61,61,174.28571428571428,174.28571428571428,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,roi,downward,keke,0,156,-156,156,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,roi,downward,truck,61,2,59,59,2950.0,2950.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,roi,upward,bus,5,0,5,5,,,,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,roi,upward,car,120,17,103,103,605.8823529411765,605.8823529411765,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,roi,upward,keke,0,120,-120,120,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_default__bytetrack__roi,YOLO11l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,default,bytetrack,roi,upward,truck,17,5,12,12,240.0,240.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,full_frame,downward,bus,0,1,-1,1,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,full_frame,downward,car,5,35,-30,30,-85.71428571428571,85.71428571428571,0.1428571428571429,0.15,10.0,0.4
mubi_road__yolo11l_tuned__botsort__full_frame,YOLO11l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,botsort,full_frame,downward,keke,0,156,-156,156,-100.0,100.0,0.0,0.15,10.0,0.4
