experiment_key,plot_label,video_key,scene,architecture,variant,tracker,region_mode,direction,manual_total,abs_error_total,overall_wape,macro_abs_pct_error,macro_event_f1,keke_f1,processing_fps
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,full_frame,upward,142,141,0.9929577464788732,98.03921568627452,,,102.46465190438629
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,roi,downward,194,165,0.8505154639175257,31.42857142857143,0.8354430379746834,,102.79085564802384
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,roi,upward,142,135,0.9507042253521126,84.31372549019608,0.6976744186046512,,102.79085564802384
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,full_frame,downward,194,190,0.979381443298969,86.46520146520146,0.012658227848101266,0.012658227848101266,56.81626114728023
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,full_frame,upward,142,137,0.9647887323943662,91.87908496732025,,,56.81626114728023
mubi_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,roi,downward,194,207,1.0670103092783505,1245.631868131868,0.5396396396396396,0.4666666666666666,56.78978750247785
mubi_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,roi,upward,142,120,0.8450704225352113,81.83006535947713,0.3963984103328366,0.45000000000000007,56.78978750247785
mubi_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,bytetrack,full_frame,downward,194,189,0.9742268041237113,98.09065934065934,0.033316335203127656,0.012578616352201259,99.23853086963965
mubi_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,bytetrack,full_frame,upward,142,137,0.9647887323943662,91.87908496732025,,,99.23853086963965
mubi_road__yolo26l_tuned__bytetrack__roi,YOLO26l tuned | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,bytetrack,roi,downward,194,184,0.9484536082474226,1148.8324175824177,0.5774429223744293,0.4748858447488585,99.50668019749271
mubi_road__yolo26l_tuned__bytetrack__roi,YOLO26l tuned | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,bytetrack,roi,upward,142,115,0.8098591549295775,79.54248366013071,0.4012266438453858,0.47560975609756095,99.50668019749271
yola_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,default,botsort,full_frame,downward,318,313,0.9842767295597484,96.27616747181965,0.01818181818181818,,54.010199815044274
yola_road__yolo11l_default__botsort__full_frame,YOLO11l default | botsort | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,default,botsort,full_frame,upward,332,331,0.9969879518072289,99.68553459119498,,,54.010199815044274
yola_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,default,botsort,roi,downward,318,373,1.1729559748427674,187.15780998389693,0.40656831752722167,,54.18811027009856
yola_road__yolo11l_default__botsort__roi,YOLO11l default | botsort | ROI,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,default,botsort,roi,upward,332,424,1.2771084337349397,173.55345911949686,0.3701263512164513,,54.18811027009856
yola_road__yolo11l_default__bytetrack__full_frame,YOLO11l default | bytetrack | Full frame,yola_road,"daytime, moderate traffic, high visibility",YOLO11l,default,bytetrack,full_frame,downward,318,315,0.9905660377358491,97.59460547504025,0.018348623853211007,,90.16621770065788
