epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9759.34,1.25342,1.1298,0.00688,0.76109,0.65926,0.74373,0.55571,1.1478,1.09237,0.00895,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10058.2,1.25061,1.12743,0.00681,0.75302,0.66952,0.74535,0.55577,1.14701,1.09154,0.00895,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10357.2,1.24149,1.11828,0.00682,0.75685,0.67206,0.74622,0.55604,1.14736,1.09456,0.00898,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10658.6,1.23816,1.09956,0.00679,0.7697,0.67025,0.74884,0.55837,1.14172,1.09049,0.00889,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10964.5,1.23559,1.08993,0.00666,0.75872,0.67743,0.75158,0.56106,1.13923,1.08855,0.00881,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11269.8,1.23379,1.09442,0.00672,0.76717,0.66956,0.74813,0.55804,1.1439,1.08718,0.0089,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11568.3,1.21305,1.06809,0.00667,0.78509,0.66273,0.75106,0.56024,1.14153,1.08072,0.00884,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11868,1.23054,1.07002,0.00657,0.773,0.67765,0.75217,0.56386,1.13519,1.0749,0.00875,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12167.4,1.21604,1.04933,0.00662,0.75871,0.68706,0.75274,0.56323,1.1364,1.07574,0.00878,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12468.9,1.20997,1.04299,0.00653,0.74797,0.69434,0.75301,0.56418,1.13215,1.07879,0.00875,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12767.5,1.21431,1.03816,0.00648,0.76602,0.67063,0.7504,0.56106,1.13631,1.08834,0.0088,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
